idade,sexo,grupo,pop,obito
70,f,api.urb,87811,1091
71,f,api.urb,87477,1283
72,f,api.urb,79821,1281
73,f,api.urb,71412,1276
74,f,api.urb,66597,1349
75,f,api.urb,69848,1646
76,f,api.urb,63697,1536
77,f,api.urb,59162,1682
78,f,api.urb,56588,1774
79,f,api.urb,58389,1967
80,f,api.urb,53446,2061
81,f,api.urb,49301,2093
82,f,api.urb,46278,2388
83,f,api.urb,45240,2418
84,f,api.urb,42062,2565
85,f,api.urb,37732,2617
86,f,api.urb,31734,2477
87,f,api.urb,26769,2353
88,f,api.urb,23148,2201
89,f,api.urb,18010,2020
90,f,api.urb,14977,1897
91,f,api.urb,11418,1561
92,f,api.urb,8812,1413
93,f,api.urb,6491,1121
94,f,api.urb,4682,906
95,f,api.urb,3370,702
96,f,api.urb,2324,521
97,f,api.urb,1554,384
98,f,api.urb,982,251
99,f,api.urb,563,156
100,f,api.urb,364,109
101,f,api.urb,209,66
102,f,api.urb,118,43
103,f,api.urb,46,17
104,f,api.urb,33,10
105,f,api.urb,18,3
106,f,api.urb,11,1
107,f,api.urb,4,1
108,f,api.urb,1,0
109,f,api.urb,2,2
110,f,api.urb,1,0
111,f,api.urb,1,0
112,f,api.urb,1,0
113,f,api.urb,2,0
114,f,api.urb,0,0
115,f,api.urb,0,0
65,m,api.rur,127085,1902
66,m,api.rur,119270,1938
67,m,api.rur,122826,2194
68,m,api.rur,113903,2236
69,m,api.rur,106079,2274
70,m,api.rur,100923,2442
71,m,api.rur,101898,2611
72,m,api.rur,95841,2634
73,m,api.rur,88737,2790
74,m,api.rur,81215,2805
75,m,api.rur,89621,3328
76,m,api.rur,76701,3108
77,m,api.rur,69023,3091
78,m,api.rur,63957,3253
79,m,api.rur,64516,3457
80,m,api.rur,54910,3278
81,m,api.rur,49493,3343
82,m,api.rur,47775,3553
83,m,api.rur,47017,3744
84,m,api.rur,41913,3622
85,m,api.rur,37490,3620
86,m,api.rur,30302,3377
87,m,api.rur,25859,3024
88,m,api.rur,22673,3004
89,m,api.rur,19867,2728
90,m,api.rur,17754,2623
91,m,api.rur,14791,2252
92,m,api.rur,12149,2046
93,m,api.rur,9810,1754
94,m,api.rur,8440,1492
95,m,api.rur,8015,1374
96,m,api.rur,6330,1139
97,m,api.rur,5417,1042
98,m,api.rur,4440,838
99,m,api.rur,3540,644
100,m,api.rur,2661,505
101,m,api.rur,1750,409
102,m,api.rur,1206,271
103,m,api.rur,1011,229
104,m,api.rur,728,176
105,m,api.rur,541,110
106,m,api.rur,267,49
107,m,api.rur,232,46
108,m,api.rur,197,46
109,m,api.rur,121,16
110,m,api.rur,59,8
111,m,api.rur,23,4
112,m,api.rur,18,5
113,m,api.rur,23,1
114,m,api.rur,17,3
115,m,api.rur,0,1
65,f,api.rur,156023,1710
66,f,api.rur,142766,1748
67,f,api.rur,147994,1859
68,f,api.rur,137652,1831
69,f,api.rur,128033,2082
70,f,api.rur,124200,2247
71,f,api.rur,131843,2444
72,f,api.rur,119865,2534
73,f,api.rur,109897,2541
74,f,api.rur,103261,2660
