idade,sexo,grupo,pop,obito,logmx,topals,topals.inf,topals.sup,vand.hat,gomp.hat
78,f,total,327472,9966,-3.492223255,-3.513798183,-3.520915995,-3.506680371,-3.503638164,-3.50978744
79,f,total,336878,10769,-3.443049211,-3.429849953,-3.43842213,-3.421277776,-3.424841514,-3.428218794
80,f,total,294333,10554,-3.328206844,-3.335401723,-3.346471859,-3.324331587,-3.347788472,-3.346650107
81,f,total,257272,9884,-3.259216603,-3.251968609,-3.260607604,-3.243329615,-3.272527688,-3.265081295
82,f,total,238656,10311,-3.141811898,-3.161835496,-3.16873736,-3.154933631,-3.199077854,-3.183512542
83,f,total,235570,10681,-3.093541647,-3.075202382,-3.081648966,-3.068755798,-3.127436765,-3.101943818
84,f,total,215429,10705,-3.001920467,-2.989869268,-2.997379284,-2.982359252,-3.057585124,-3.020375027
85,f,total,198771,11066,-2.888276064,-2.903136154,-2.912736229,-2.89353608,-2.989491985,-2.938806342
86,f,total,167818,9958,-2.824503811,-2.809202002,-2.817478474,-2.800925529,-2.923117888,-2.857237569
87,f,total,146938,9735,-2.71428309,-2.717967849,-2.725155702,-2.710779996,-2.858417497,-2.775668821
88,f,total,129687,9287,-2.636508282,-2.630333696,-2.63678793,-2.623879463,-2.795341617,-2.694100108
89,f,total,108554,8642,-2.530613708,-2.539499544,-2.545702421,-2.533296667,-2.733838889,-2.612531316
90,f,total,92296,7986,-2.447310795,-2.451065391,-2.457555453,-2.44457533,-2.673856332,-2.530962693
91,f,total,74120,7040,-2.354077231,-2.368031239,-2.375283326,-2.360779151,-2.615341311,-2.449393841
92,f,total,60193,6224,-2.26914328,-2.284697086,-2.293057188,-2.276336984,-2.558240989,-2.367825194
93,f,total,46048,5175,-2.185844992,-2.205662933,-2.215359144,-2.195966723,-2.502503938,-2.286256434
94,f,total,38313,4480,-2.146166218,-2.130128781,-2.141307705,-2.118949856,-2.44807953,-2.204687717
95,f,total,32121,4078,-2.06390335,-2.056094628,-2.068851856,-2.0433374,-2.394918717,-2.123118942
96,f,total,24294,3226,-2.018986427,-2.002347361,-2.013569358,-1.991125363,-2.34297416,-2.04155025
97,f,total,19443,2691,-1.977574236,-1.951400093,-1.962125002,-1.940675185,-2.292199906,-1.959981477
98,f,total,15130,2204,-1.926405637,-1.903252826,-1.914655377,-1.891850275,-2.242552081,-1.878412729
99,f,total,12035,1778,-1.912329934,-1.858105559,-1.871179072,-1.845032046,-2.193988569,-1.796844034
100,f,total,8813,1468,-1.792326974,-1.817558291,-1.832976443,-1.80214014,-2.146468832,-1.715275264
101,f,total,5774,1006,-1.74738301,-1.780911024,-1.799088651,-1.762733397,-2.099954175,-1.633706527
102,f,total,4203,782,-1.681699094,-1.748363757,-1.769554248,-1.727173266,-2.054407602,-1.552137775
103,f,total,3280,618,-1.669110244,-1.720316489,-1.744679407,-1.695953571,-2.00979377,-1.470569064
104,f,total,2492,508,-1.590359432,-1.696569222,-1.724209242,-1.668929202,-1.966078928,-1.389000339
105,f,total,1830,325,-1.728246064,-1.677721955,-1.708710561,-1.646733348,-1.923230859,-1.307431574
106,f,total,1033,181,-1.741725438,-1.664174687,-1.698562488,-1.629786887,-1.881218815,-1.225862853
107,f,total,893,186,-1.568839907,-1.65502742,-1.69285138,-1.61720346,-1.840013513,-1.144294104
108,f,total,1000,180,-1.714798428,-1.650680152,-1.69196801,-1.609392295,-1.799586884,-1.062725386
109,f,total,980,174,-1.728497272,-1.651932885,-1.696705941,-1.60715983,-1.759912142,-0.98115664
110,f,total,517,83,-1.829202267,-1.668385618,-1.716660558,-1.620110677,-1.720963896,-0.899587904
65,f,api.urb,123150,961,-4.853183995,-4.855330637,-4.899080339,-4.811580935,-4.783497962,-4.874780236
66,f,api.urb,115857,983,-4.769502831,-4.760102069,-4.793731753,-4.726472385,-4.741752258,-4.767145912
67,f,api.urb,113410,1069,-4.664285939,-4.6639735,-4.689669602,-4.638277399,-4.675834756,-4.659511587
68,f,api.urb,104818,1082,-4.573414332,-4.559144932,-4.581551147,-4.536738718,-4.59029426,-4.551877263
69,f,api.urb,93985,1146,-4.406857577,-4.459516364,-4.485132805,-4.433899923,-4.490081498,-4.444242939
70,f,api.urb,87811,1091,-4.388092071,-4.349587796,-4.383095712,-4.316079879,-4.379843554,-4.336608614
71,f,api.urb,87477,1283,-4.222174816,-4.24191154,-4.267908383,-4.215914697,-4.263522933,-4.22897429
72,f,api.urb,79821,1281,-4.132145605,-4.124235285,-4.144824411,-4.103646159,-4.144226948,-4.121339966
73,f,api.urb,71412,1276,-4.024735738,-4.011459029,-4.030616514,-3.992301545,-4.024269971,-4.013705642
74,f,api.urb,66597,1349,-3.899295954,-3.898982774,-3.921457809,-3.876507739,-3.905296592,-3.906071317
75,f,api.urb,69848,1646,-3.74797335,-3.780106519,-3.809059344,-3.751153693,-3.78842471,-3.798436993
76,f,api.urb,63697,1536,-3.724955831,-3.678295596,-3.700761927,-3.655829264,-3.674377199,-3.690802669
77,f,api.urb,59162,1682,-3.560295882,-3.576884673,-3.594654357,-3.559114989,-3.563590352,-3.583168344
78,f,api.urb,56588,1774,-3.462560065,-3.47407375,-3.490546242,-3.457601259,-3.456297782,-3.47553402
