"allHMD"
-4.4707
-4.3785
-4.2854
-4.1836
-4.087
-3.9801
-3.8825
-3.7749
-3.6722
-3.5698
-3.461
-3.3526
-3.2446
-3.1352
-3.0243
-2.9029
-2.7945
-2.6794
-2.5678
-2.4575
-2.3458
-2.2347
-2.1263
-2.0215
-1.9135
-1.8079
-1.7077
-1.6072
-1.511
-1.4183
-1.3271
-1.2372
-1.1501
-1.0658
-0.9845
-0.9078
-0.835
-0.7663
-0.7021
-0.6422
-0.5872
-0.5375
-0.4922
-0.4517
-0.4168
-0.3971
