"allHMD"
-3.7927
-3.713
-3.6316
-3.5447
-3.4632
-3.3771
-3.2972
-3.2102
-3.1267
-3.0426
-2.9554
-2.8663
-2.7763
-2.6868
-2.596
-2.4944
-2.4032
-2.3081
-2.2144
-2.1206
-2.0261
-1.9303
-1.8388
-1.7469
-1.6543
-1.5606
-1.4717
-1.3811
-1.2942
-1.211
-1.1441
-1.0685
-0.9954
-0.9252
-0.8578
-0.7954
-0.7362
-0.6805
-0.6287
-0.5809
-0.5375
-0.4972
-0.4608
-0.4278
-0.398
-0.3876
