"idade","sexo","grupo","pop","obito","logmx","topals","topals.inf","topals.sup","vand.hat","gomp.hat"
69,"m","api.urb",77805,1804,-3.76419927483104,-3.77843479017637,-3.7986731855507,-3.75819639480204,-3.77602185109698,-3.77042045841824
70,"m","api.urb",72380,1898,-3.64112931794786,-3.65337399213797,-3.67996432402164,-3.6267836602543,-3.66249758283621,-3.67772309610496
71,"m","api.urb",71179,1876,-3.63605598050919,-3.56574477915276,-3.58632403123149,-3.54516552707404,-3.55550228837062,-3.58502573379168
72,"m","api.urb",63795,1900,-3.51382093120131,-3.47101556616756,-3.48752717301073,-3.45450395932439,-3.45428934215149,-3.4923283714784
73,"m","api.urb",57595,1945,-3.38817378130806,-3.37978635318235,-3.39573716453963,-3.36383554182507,-3.35823741296695,-3.39963100916512
74,"m","api.urb",52548,2057,-3.24047842693644,-3.28795714019715,-3.30716368291976,-3.26875059747453,-3.2668233363778,-3.30693364685184
75,"m","api.urb",54253,2112,-3.24602292458676,-3.19302792721194,-3.2178477149174,-3.16820813950648,-3.17960204619336,-3.21423628453855
76,"m","api.urb",48409,2210,-3.08669323131951,-3.10879386299513,-3.12797450675799,-3.08961321923227,-3.09619145220756,-3.12153892222527
77,"m","api.urb",42558,2098,-3.0098833414739,-3.02365979877832,-3.03951942117466,-3.00780017638199,-3.01626085778814,-3.02884155991199
78,"m","api.urb",37286,2128,-2.86343534959387,-2.93902573456152,-2.9553632204126,-2.92268824871043,-2.93952195883446,-2.93614419759871
79,"m","api.urb",34221,1930,-2.87531948779708,-2.85309167034471,-2.87344000097151,-2.83274333971791,-2.86572175703866,-2.84344683528543
80,"m","api.urb",28267,1749,-2.78265085047658,-2.7563576061279,-2.78268156800001,-2.73003364425579,-2.79463691438238,-2.75074947297215
81,"m","api.urb",23921,1607,-2.70038764747328,-2.66647254051017,-2.68705767518982,-2.64588740583051,-2.72606920763684,-2.65805211065887
82,"m","api.urb",21521,1698,-2.53957811472629,-2.57268747489243,-2.58928712874215,-2.55608782104272,-2.65984183291297,-2.56535474834559
83,"m","api.urb",21178,1716,-2.51296690594249,-2.4803024092747,-2.49606163460769,-2.46454318394171,-2.59579637458638,-2.47265738603231
84,"m","api.urb",19355,1783,-2.38465344514861,-2.38781734365697,-2.40631495959191,-2.36931972772202,-2.53379029889217,-2.37996002371902
85,"m","api.urb",18143,1837,-2.29015100515504,-2.29463227803923,-2.3182325819456,-2.27103197413287,-2.47369486583005,-2.28726266140574
86,"m","api.urb",16224,1798,-2.19981669135934,-2.19883002969346,-2.2188868196819,-2.17877323970501,-2.41539337752507,-2.19456529909246
87,"m","api.urb",14617,1799,-2.09495427993876,-2.10732778134768,-2.12462376092743,-2.09003180176792,-2.35877969941535,-2.10186793677918
88,"m","api.urb",12810,1809,-1.95745190949548,-2.0154255330019,-2.03116092621022,-1.99969013979358,-2.3037570043454,-2.0091705744659
89,"m","api.urb",10334,1446,-1.96663830612842,-1.92282328465612,-1.9385595451405,-1.90708702417175,-2.25023670005932,-1.91647321215262
90,"m","api.urb",8229,1294,-1.84992630454487,-1.82912103631035,-1.84641938286308,-1.81182268975762,-2.19813750857955,-1.82377584983933
91,"m","api.urb",6415,1075,-1.78631833648797,-1.74021878796457,-1.76027897983053,-1.72015859609861,-2.14738467214203,-1.73107848752605
92,"m","api.urb",4836,924,-1.655131140093,-1.64961653961879,-1.67322089105564,-1.62601218818194,-2.09790926518808,-1.63838112521277
93,"m","api.urb",3615,737,-1.59025924240353,-1.56271429127301,-1.59034570673846,-1.53508287580756,-2.04964759571143,-1.54568376289949
94,"m","api.urb",2525,589,-1.45557015805787,-1.47951204292723,-1.51147139898002,-1.44755268687445,-2.0025406822699,-1.45298640058621
95,"m","api.urb",1712,448,-1.3406243242867,-1.41260979458146,-1.44909104130916,-1.37612854785375,-1.95653379537425,-1.36028903827293
96,"m","api.urb",1305,353,-1.3074902628235,-1.34429098625189,-1.37712547615054,-1.31145649635324,-1.91157605389615,-1.26759167595965
