"ano","idade","sexo","grupo","pop","obito","logmx","logmx.hat","logmx.hat.inf","logmx.hat.sup"
2015,65,"f","atc",53209,373,-4.96040441431012,-4.91302017292964,-4.98298562469611,-4.84305472116316
2015,66,"f","atc",47421,390,-4.80067370842181,-4.80257804186618,-4.85623898610473,-4.74891709762764
2015,67,"f","atc",42732,404,-4.66128845510463,-4.69123591080273,-4.73270952780815,-4.64976229379731
2015,68,"f","atc",38079,411,-4.52882501356005,-4.57119377973928,-4.60883493213539,-4.53355262734317
2015,69,"f","atc",32680,396,-4.41310433771946,-4.45635164867583,-4.50073501577609,-4.41196828157556
2015,70,"f","atc",29356,373,-4.36567381402114,-4.33120951761237,-4.38933990271226,-4.27307913251249
2015,71,"f","atc",27431,398,-4.23297703441725,-4.2348823172462,-4.27995901000129,-4.18980562449111
2015,72,"f","atc",24118,352,-4.22708255306544,-4.12855511688003,-4.16521808875941,-4.09189214500065
2015,73,"f","atc",20749,383,-3.99221834254581,-4.02712791651386,-4.06340376941541,-3.99085206361231
2015,74,"f","atc",19134,381,-3.91642276111141,-3.92600071614769,-3.97012780782454,-3.88187362447083
2015,75,"f","atc",18483,404,-3.82319179172153,-3.81847351578152,-3.87537660581532,-3.76157042574771
2015,76,"f","atc",16488,386,-3.75455075310546,-3.70146184443512,-3.74556160912491,-3.65736207974532
2015,77,"f","atc",14106,413,-3.53090792480709,-3.58485017308872,-3.62093339442431,-3.54876695175312
2015,78,"f","atc",12135,394,-3.42749820886277,-3.46683850174232,-3.50302676647235,-3.43065023701229
2015,79,"f","atc",11343,415,-3.30807757232834,-3.34732683039592,-3.39168406399256,-3.30296959679928
2015,80,"f","atc",9838,381,-3.25120834222858,-3.21731515904952,-3.27455081110732,-3.16007950699172
2015,81,"f","atc",8145,369,-3.09436287699562,-3.11089600188994,-3.15563828744698,-3.0661537163329
2015,82,"f","atc",7377,359,-3.02279994239602,-2.99777684473035,-3.03390532735494,-2.96164836210577
2015,83,"f","atc",6378,339,-2.93460974018955,-2.88815768757077,-2.92259756686997,-2.85371780827158
2015,84,"f","atc",6000,342,-2.86470401114759,-2.77983853041119,-2.82038956251931,-2.73928749830307
2015,85,"f","atc",5598,401,-2.63620324276883,-2.67011937325161,-2.72188915221023,-2.61834959429298
2015,86,"f","atc",4728,378,-2.52636336346635,-2.54691720390856,-2.59113400368644,-2.50270040413067
2015,87,"f","atc",3929,324,-2.49539670376613,-2.42641503456551,-2.46475852773917,-2.38807154139186
2015,88,"f","atc",3251,353,-2.22024986337061,-2.30951286522246,-2.344518640059,-2.27450709038592
2015,89,"f","atc",2642,312,-2.13628829727279,-2.18941069587942,-2.22434875238007,-2.15447263937876
2015,90,"f","atc",2030,246,-2.11045953610347,-2.07170852653637,-2.10986627842465,-2.03355077464809
2015,91,"f","atc",1554,230,-1.9105082220044,-1.95940635719332,-2.00335454240364,-1.915458171983
2015,92,"f","atc",1152,200,-1.7509374747078,-1.84680418785027,-1.89825275104091,-1.79535562465964
2015,93,"f","atc",843,151,-1.71968712118693,-1.73850201850723,-1.79852325676894,-1.67848078024551
2015,94,"f","atc",593,95,-1.83131750739718,-1.63369984916418,-1.70296907860659,-1.56443061972176
2015,95,"f","atc",445,89,-1.6094379124341,-1.53039767982113,-1.60935327474391,-1.45144208489835
2015,96,"f","atc",316,72,-1.47907609457086,-1.43841896473482,-1.50932816469361,-1.36750976477604
2015,97,"f","atc",214,57,-1.3229247471873,-1.34924024964852,-1.4273279949496,-1.27115250434744
